;Primary Sources; Secondary Resources ; Historiography ; Key Figures; Art & Architecture; Cultural Practices ; Economic Systems ; Political Structures; Social Hierarchies ; Scientific Advancements ; Technological Innovations ; Geographical Impact
85;"""The History of the Zulu"""; Delius, Hamilton; Shaka, Cetshwayo; Zulu, English; Christianity, ancestor veneration; Kraal, Assegai; Age regiments, diplomacy; King, induna; Cattle herding, beadwork;" Zulu historiography, African studies.""";;
86;"""The History of the Mughals"""; Habib, Mukhia; Babur, Akbar; Persian, Turkish; Islam, Hinduism; Taj Mahal, Red Fort; Mansabdari, jagirdari; Emperor, wazir; Miniature painting, calligraphy;" Mughal historiography, South Asian studies.""";;
87;"""The History of the Persians"""; Brosius, Daryaee; Cyrus the Great, Darius I; Old Persian, Elamite; Zoroastrianism, Islam; Apadana, Persepolis; Satrapies, Royal Road; King, grand vizier; Architecture, textile;" Persian historiography, Middle Eastern studies.""";;
88;"""The History of the Ancient Greeks"""; Herodotus, Thucydides; Leonidas I, Pericles; Ancient Greek, Koine; Polytheism, Athenian democracy; Parthenon, Temple of Zeus; Tragedies, philosophy; Tyrant, strategist; Pottery, sculpture;" Greek historiography, Classical studies.""</s>";;
89;" ""The History of the Mayans"""; Coe, Fash; Yuknoom the Great, Pakal the Great; Yucatec, Classic Cholan; Polytheism, Hieroglyphic writing; Tikal, Palenque; Nobles, Priests; Ajaw, Batab; Pottery, Weaving;" Maya historiography, Mesoamerican studies.""";"""";
90;"""The History of the Romans"""; Gibbon, Goldsworthy; Julius Caesar, Augustus; Latin, Vulgar Latin; Polytheism, Republic; Colosseum, Pantheon; Epic poetry, Oratory; Emperor, Consul; Mosaics, Aqueducts;" Roman historiography, Classical studies.""";"""";
91;"""The History of the Aztecs"""; Hassig, Diaz del Castillo; Moctezuma I, Cuauhtemoc; Nahuatl, Classical Nahuatl; Polytheism, Human sacrifice; Tenochtitlan, Templo Mayor; Calmecac, Telpochcalli; Tlatoani, Pipiltin; Feather-work, Stone carving;" Aztec historiography, Mesoamerican studies.""";"""";
92;"""The History of the Ottomans"""; Imber, Faroqhi; Mehmed II, Suleiman the Magnificent; Turkish, Ottoman Turkish; Islam, Sufism; Hagia Sophia, Blue Mosque; Timar, Kapıkulu; Sultan, Grand Vizier; Calligraphy, Tiles;" Ottoman historiography, Middle Eastern studies.""";"""";
93;"""The History of the Egyptians"""; Shaw, Nicholson; Khufu, Ramses II; Ancient Egyptian, Demotic; Polytheism, Thebes; Pyramids, Temples; Dramas, Hymns; Pharaoh, Vizier; Reliefs, Obelisks;" Egyptian historiography, African studies.""";"""";
94;"""The History of the Chinese"""; Fairbank, Bielenstein; Qin Shi Huang, Mao Zedong; Classical Chinese, Mandarin; Confucianism, Daoism; Great Wall, Forbidden City; Civil service examinations, Legalism; Emperor, Premier; Porcelain, Silk;" Chinese historiography, East Asian studies.""";"""";
95;"""The History of the Indians"""; Keay, Dalrymple; Ashoka, Akbar; Sanskrit, Hindi; Hinduism, Buddhism; Ajanta, Ellora; Sutras, Upanishads; King, Brahmin; Miniature painting, Textile;" Indian historiography, South Asian studies.""";"""";
96;"""The History of the Africans"""; Shillington, Thornton; Mansa Musa, Shaka Zulu; Swahili, Arabic; Islam, Ancestral worship; Great Zimbabwe, Djenné-Djenno; Kingdoms, Empires; King, Chief; Masks, Pottery;" African historiography, African studies.""";"""";
97;"""The History of the Arabs"""; Hourani, Peters; Muhammad, Saladin; Arabic, Classical Arabic; Islam, Sufism; Kaaba, Al-Aqsa; Hadith, Fiqh; Caliph, Amir; Calligraphy, Glass;" Arabic historiography, Middle Eastern studies.""";"""";
98;"""The History of the Japanese"""; Hall, Jansen; Oda Nobunaga, Meiji; Japanese, Modern Japanese; Shinto, Buddhism; Himeji Castle, Tokyo Skytree; Samurai, Daimyō; Shogun, Prime Minister; Ukiyo-e, Origami; Japanese historiography, East Asian studies.</s>;;
99;" ""The History of the Chinese"""; Fairbank, Spence; Qin Shi Huang, Mao Zedong; Chinese, Mandarin; Confucianism, Taoism; Great Wall, Forbidden City; Han, Qing; Emperor, Premier; Porcelain, Silk;" Chinese historiography, East Asian studies.""";"""";
100;"""The History of the Indians"""; Keay, Metcalf; Ashoka, Gandhi; Sanskrit, Hindi; Hinduism, Buddhism; Taj Mahal, Delhi Metro; Gupta, Maurya; King, Prime Minister; Miniature paintings, Weaving;" Indian historiography, South Asian studies.""";"""";
101;"""The History of the Romans"""; Gibbon, Ferrill; Julius Caesar, Augustus; Latin, Italian; Polytheism, Christianity; Colosseum, Roman Forum; Republic, Empire; Consul, Emperor; Mosaics, Aqueducts;" Roman historiography, Classical studies.""";"""";
102;"""The History of the Greeks"""; Boardman, Hornblower; Alexander the Great, Pericles; Ancient Greek, Modern Greek; Polytheism, Platonism; Parthenon, Acropolis; City-states, Hellenistic Kingdoms; Tyrant, Strategos; Black-figure pottery, Frescoes;" Greek historiography, Classical studies.""";"""";
103;"""The History of the Mayans"""; Coe, Fash; Pacal the Great, Hurricane Katria; Maya, Yucatec; Polytheism, Christianity; Palenque, Tikal; Classic, Post-Classic; Ajaw, Halach Uinik; Codex, Jade;" Maya historiography, Mesoamerican studies.""";"""";
104;"""The History of the Persians"""; Brosius, Curtis; Cyrus the Great, Reza Shah; Persian, Modern Persian; Zoroastrianism, Islam; Persepolis, Milad Tower; Achaemenid, Qajar; Shah, President; Miniature paintings, Carpets;" Persian historiography, Middle Eastern studies.""";"""";
105;"""The History of the Egyptians"""; Shaw, Manniche; Khufu, Nasser; Ancient Egyptian, Arabic; Polytheism, Islam; Pyramids, Aswan Dam; Old, Modern; Pharaoh, President; Hieroglyphs, Papyrus;" Egyptian historiography, African studies.""";"""";
106;"""The History of the Ottomans"""; Inalcik, Quataert; Suleiman the Magnificent, Atatürk; Turkish, Modern Turkish; Islam, Secularism; Hagia Sophia, Bosphorus Bridge; Empire, Republic; Sultan, President; Tiles, Calligraphy;" Ottoman historiography, Middle Eastern studies.""";"""";
107;"""The History of the Americans"""; Bancroft, Higham; George Washington, Martin Luther King; English, Spanish; Christianity, Secularism; Statue of Liberty, Washington Monument; Republic, Democracy; President, Prime Minister; Oil painting, Blue jeans;" American historiography, American studies.""";"""";
108;"""The History of the Russians"""; Kliuchevsky, Figes; Peter the Great, Stalin; Russian, Russian; Christianity, Communism; Kremlin, Moscow Metro; Tsardom, Soviet Union; Tsar, General Secretary; Icons, Ballet;" Russian historiography, Slavic studies.""";"""";</s>
